,modern,original
15831,Now we wear the wreaths of victory on our heads.,"Now is the winter of our discontent Made glorious summer by this son of York, And all the clouds that loured upon our house In the deep bosom of the ocean buried."
15832,"I’m left with nothing to do in this weak, idle peacetime, unless I want to look at my lumpy shadow in the sun and sing about","Grim-visaged war hath smoothed his wrinkled front; And now, instead of mounting barbèd steeds To fright the souls of fearful adversaries, He capers nimbly in a lady’s chamber To the lascivious pleasing of a lute."
15833,Won’t King Richard let me speak with him?,Will not King Richard let me speak with him?
15834,"No, my good lord.","No, my good lord."
15835,So be calm.,Therefore be patient.
15836,"Hastings and Edward’s children, Rivers and Grey, holy King Henry and your fine son Edward, Vaughan, and all who have died from underhanded, corrupt, fiendish injustice, if your angry souls are witnessing this moment through the clouds, enjoy the revenge—laugh at my ruin!","Hastings and Edward’s children, Grey and Rivers, Holy King Henry and thy fair son Edward, Vaughan, and all that have miscarrièd By underhand, corrupted, foul injustice, If that your moody, discontented souls Do through the clouds behold this present hour, Even for revenge mock my destruction.— This is All Souls' Day, fellow, is it not?"
15837,"This is  It is, my lord.",It is.
15838,"Why, then, it’s my body’s doomsday.","Why, then All Souls' Day is my body’s doomsday."
15839,Today I’m going to get what I said I wished would happen to me if I was ever false to King Edward’s children or his wife’s allies.,"This is the day which, in King Edward’s time, I wished might fall on me when I was found False to his children and his wife’s allies."
15840,This is the day I’m going to get what I wished for when I wished that the person I most trusted would betray me.,This is the day wherein I wished to fall By the false faith of him who most I trusted.
15841,"This, this All-Souls' day, is my just desserts.","This, this All Souls' Day to my fearful soul Is the determined respite of my wrongs."
15842,"I tried to play games with God, and he turned my fake prayer on my head, giving me for real what I’d asked for as a joke.",That high All-seer which I dallied with Hath turned my feignèd prayer on my head And given in earnest what I begged in jest.
15843,This is how God forces wicked men to turn their swords against themselves.,Thus doth he force the swords of wicked men To turn their own points in their masters' bosoms.
15844,"I have done wrong, so I will suffer wrong.","Wrong hath but wrong, and blame the due of blame."
15845,I suspect his friends will join us.,I doubt not but his friends will turn to us.
15846,He has no friends except those who are too afraid to defy him.,He hath no friends but who are friends for fear.
15847,"In his greatest need, even they will desert him.",Which in his dearest need will fly from him.
15848,All to our advantage.,All for our vantage.
15849,"So, in God’s name, let’s march.","Then, in God’s name, march."
15850,Hope with good cause is swift; it flies as fast as a swallow.,"True hope is swift, and flies with swallow’s wings."
15851,It turns kings into gods and men of lower rank into kings.,"Kings it makes gods, and meaner creatures kings."
15852,My heart is ten times lighter than my looks.,My heart is ten times lighter than my looks.
15853,"My Lord of Norfolk— Here, most gracious king.","My Lord of Norfolk— Here, most gracious liege."
15854,"Norfolk, we’re going to have a few blows, right?","Norfolk, we must have knocks, ha, must we not?"
15855,"We’ve got to give them and take them, my lord.","We must both give and take, my loving lord."
15856,I’ll lie here tonight.,Up with my tent!—Here will I lie tonight.
15857,But where will I lie tomorrow?,But where tomorrow?
15858,"Well, it doesn’t matter.","Well, all’s one for that."
15859,"Six or seven thousand, at most.",Six or seven thousand is their utmost power.
15860,"Why, our troops amount to three times that.","Why, our battalia trebles that account."
15861,"Besides, the king’s name is a tower of strength; the opposition doesn’t have that advantage.","Besides, the king’s name is a tower of strength Which they upon the adverse party want."
15862,"Let’s be disciplined and not delay, because tomorrow is a busy day.","Let’s lack no discipline, make no delay, For, lords, tomorrow is a busy day."
15863,"My Lord of Oxford, you, Sir William Brandon, and you, Sir Walter Herbert, are going to stay with me.","My Lord of Oxford, you, Sir William Brandon, And you, Sir Walter Herbert, stay with me."
15864,"Good Captain Blunt, tell the earl goodnight from me, and tell him that by two in the morning I would like him to visit my tent.","The earl of Pembroke keeps his regiment— Good Captain Blunt, bear my goodnight to him, And by the second hour in the morning Desire the earl to see me in my tent."
15865,"Unless I’ve mistaken his battle flags, which I’m sure I haven’t, his regiment lies at least half a mile south of the king’s mighty army.","Unless I have mista'en his colors much, Which well I am assured I have not done, His regiment lies half a mile, at least, South from the mighty power of the king."
15866,"If it’s possible to do this without putting yourself in danger, dear Captain Blunt, say goodnight to him from me and give him this important note.","If without peril it be possible, Sweet Blunt, make some good means to speak with him, And give him from me this most needful note."
15867,"Upon my life, my lord, I’ll do it.","Upon my life, my lord, I’ll undertake it."
15868,There is a man who loves you better than your husband could.,He lives that loves thee better than he could.
15869,Name him.,Name him.
15870,Plantagenet.,Plantagenet.
15871,"Yes, that’s my husband’s name.","Why, that was he."
15872,"Someone else has the same name, but he’s a better man.","The selfsame name, but one of better nature."
15873,Where is this man?,Where is he?
15874,Here.,Here.
15875,Why do you spit at me?,Why dost thou spit at me?
15876,If only I could spit poison.,Would it were mortal poison for thy sake.
15877,Poison never came from such a sweet place.,Never came poison from so sweet a place.
15878,Poison never landed on such an ugly toad.,Never hung poison on a fouler toad.
15879,Get out of my sight!,Out of my sight!
15880,You’re poisoning my eyes.,Thou dost infect mine eyes.
15881,"Your beautiful eyes, sweet lady, have infected mine with love.","Thine eyes, sweet lady, have infected mine."
15882,I wish my eyes were,Would they were basilisks to strike thee dead.
15883,"Good night, dear Captain Blunt.","Good night, good Captain Blunt."
15884,"Come, gentlemen, let’s discuss tomorrow’s action in my tent.","Come, gentlemen, Let us consult upon tomorrow’s business Into my tent."
15885,The night air is too raw and cold for us to stay outdoors.,The dew is raw and cold.
15886,What time is it?,What is “t o”clock?
15887,"It’s dinnertime, my lord.","It’s suppertime, my lord."
